SMILES,Title,IC50nM,6Y9S_SP,4WHZ_SP,Weight,LogP,SA,QED,TPSA,HBA,HBD,RotBond,Filtered,3D_best_gsk3b,3D_sim_gsk3b,3D_best_jnk3,3D_sim_jnk3,3D_sim_2D_gsk3b,3D_sim_2D_jnk3
CCCCCc1nc(=NCc2cccnc2)sn1-c1ccccc1,50932567,800.0,-7.41087228274914,-7.14066427174403,338.4800000000001,4.162400000000003,2.8537400629282637,0.6070782151163239,43.07,5,0,7,False,50932567,1.0,CHEMBL1946332,0.571863580998782,1.0,0.10714285714285714
COc1ccc(Nc2nnc(-c3ccc(C)cc3)o2)cc1,CHEMBL1630484,805.0,-8.23037927977646,-7.81374956550412,281.315,3.797220000000002,1.8473687150097238,0.7878576367904738,60.18,5,1,4,True,CHEMBL1630484,1.0,CHEMBL3099976,0.6245852187028658,1.0,0.21212121212121213
CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NC(=O)C3CC3c3ccccc3)c2)[nH]1,CHEMBL4442468,808.0,-7.79295841684305,-10.2535998498742,444.53500000000014,5.741900000000004,3.199970824613237,0.37205650552923786,70.67,4,2,6,True,CHEMBL4442468,1.0,CHEMBL4074524,0.7019482062247564,1.0,0.4788732394366197
Cn1cc(C2=C(c3nn(CCn4ccnc4)c4ncccc34)C(=O)NC2=O)c2ccccc21,CHEMBL563560,810.0,-7.83448231677889,-7.84887276279495,437.4630000000002,2.3869000000000007,2.8741400838596576,0.42579594574490365,99.63,8,1,5,True,CHEMBL563560,1.0,CHEMBL1644636,0.6277670564195709,1.0,0.11650485436893204
O=C1Nc2ccccc2C1=C1Nc2ccccc2C1=NOCCOC1OC(CO)C(O)C(O)C1O,CHEMBL4100916,810.0,-11.2159846115947,-9.22227737219939,483.4770000000002,0.012699999999999656,4.200226255628219,0.1888409173903989,162.1,10,6,6,True,CHEMBL4100916,1.0,50383511,0.48454688318491357,1.0,0.1111111111111111
O=C1NC(=O)c2c1c1cnn(-c3ccccc3Cl)c1n1cccc21,CHEMBL3110135,810.0,-9.26742989819621,-8.52401352488552,336.73800000000006,2.815200000000001,2.8132381551605867,0.5433997848412514,68.4,5,1,1,True,CHEMBL3110135,1.0,CHEMBL220227,0.644786432160804,1.0,0.08450704225352113
Cn1cc(-n2cnc3c(NCc4nc5cc(Cl)c(Cl)cc5[nH]4)nc(N4CCOCC4)nc32)cn1,CHEMBL4877117,810.0,-8.02609434907661,-7.79069380791923,499.36600000000027,3.1808000000000014,3.0228580154999403,0.3791830310056214,114.6,10,2,5,True,CHEMBL4877117,1.0,CHEMBL507625,0.5351361128696753,1.0,0.1452991452991453
O=[N+]([O-])c1ccc(-c2nnc(Nc3ccc(Cl)cc3)o2)cc1,CHEMBL1630478,811.0,-8.04944583154897,-7.20252730339529,316.704,4.041800000000001,2.028905774769175,0.5762676182290466,94.09,6,1,4,False,CHEMBL1630478,1.0,CHEMBL571619,0.6277131173324946,1.0,0.19047619047619047
Cc1cc(CCCNc2cc(Cl)cn3c(=O)[nH]nc23)ccn1.Cl,51195502,818.0,-8.2804815493878,-8.26321678221501,354.24100000000004,2.845920000000001,2.7617479460507575,0.6912151473181858,75.08,5,2,5,True,51195502,1.0,CHEMBL1083185,0.6351583216346903,1.0,0.09523809523809523
Clc1cccc(CSc2nnc(-c3ccncc3)o2)c1,CHEMBL40021,820.0,-6.31475741502501,-7.86746469775276,303.774,4.077300000000003,2.088391414687397,0.6798042476732032,51.81,5,0,4,True,CHEMBL40021,1.0,CHEMBL4800639,0.6327776860868131,1.0,0.1111111111111111
O=C(Nc1n[nH]c2cc(-c3cccc(F)c3)ccc12)C1CC1,CHEMBL261660,828.0,-7.85940228971689,-7.73865887346243,295.31700000000006,3.717500000000002,2.111499181362582,0.7734298096646778,57.78,2,2,3,True,CHEMBL261660,1.0,CHEMBL3393595,0.6322800495662949,1.0,0.1527777777777778
COc1cccc2c(C3=C(c4cn(C)c5cc(C(F)(F)F)ccc45)C(=O)NC3=O)coc12,CHEMBL482632,830.0,-8.18208483640719,-8.72571429331969,440.3770000000001,4.519100000000003,2.791714724245548,0.47574425816939636,73.47,5,1,3,True,CHEMBL482632,1.0,CHEMBL1644630,0.6521739130434783,1.0,0.09375
O=C1NC(=O)C(c2nn(CCCN3CCOCC3)c3ncccc23)=C1c1c[nH]c2ccccc12,CHEMBL3099840,830.0,-9.97682960100293,-7.9151384607514,456.5060000000001,2.2020999999999997,2.751885553961479,0.4312146735645646,105.14000000000001,7,2,6,True,CHEMBL3099840,1.0,CHEMBL4874575,0.6441850410722005,1.0,0.12612612612612611
CC(C)(C)c1ccc(C(=O)Nc2cn3cc(-n4ccnc4)ccc3n2)cc1,CHEMBL1642655,831.76,,-7.6329050067151,359.43300000000005,4.0698000000000025,2.5175399478520077,0.5996179630322237,64.22,5,1,3,True,,,CHEMBL572282,0.606533136174217,,0.17333333333333334
O=C(Nc1cncc(OCC2CCN(Cc3ccccc3)CC2)c1)c1ccnc2[nH]ccc12,CHEMBL4877175,837.0,-7.62175345932362,-8.71566088777756,441.53500000000014,4.501200000000003,2.4571397895111495,0.44119586758644413,83.13999999999999,5,2,7,True,CHEMBL4877175,1.0,CHEMBL3947385,0.5434970785544255,1.0,0.1111111111111111
CC(C)Oc1ccc2c(-c3ccnc(Nc4ccc(N5CCN(C)CC5)cc4)n3)cnn2n1,CHEMBL496162,850.0,-8.04440448019398,-6.54829432130888,444.54300000000023,3.4689000000000023,2.730174699244273,0.4840636721733812,83.71,9,1,6,False,CHEMBL496162,1.0,CHEMBL585725,0.6293736501079914,1.0,0.35714285714285715
O=C1NC(=O)C(n2ccc3ncccc32)=C1c1cn(CCCCn2ccnc2)c2ccccc12,CHEMBL557647,850.0,-8.64708561744887,-7.50472389705752,450.50200000000024,3.6926000000000014,2.947933246269171,0.3026589904543786,86.74,7,1,7,True,CHEMBL557647,1.0,695949,0.5261690261690262,1.0,0.12121212121212122
CCCC(=O)Nc1n[nH]c2ncc(-c3ccc(-c4ccccc4)cc3)cc12,CHEMBL261052,851.0,-7.48351447188252,-8.79228115817787,356.42900000000003,5.030500000000003,2.162804832334613,0.5266909660400095,70.67,3,2,5,True,CHEMBL261052,1.0,CHEMBL4783382,0.6316829238177553,1.0,0.14942528735632185
CSc1ccc(-c2nnc(Nc3ccc(Cl)cc3)o2)cc1,CHEMBL1630474,855.0,-7.89981850199624,-8.00441505502872,317.80100000000004,4.855500000000002,2.069011590167353,0.6966101920115513,50.95,5,1,4,True,CHEMBL1630474,1.0,CHEMBL1946335,0.6322446143154969,1.0,0.18309859154929578
COc1cc(F)ccc1-c1ccnc(NC(=O)C2CCC(NC(C)=O)C2)c1,CHEMBL3673435,857.0,-10.1843028868234,-9.32933450495477,371.4120000000002,3.1396000000000006,2.985705189020713,0.8461725620285844,80.32,4,2,5,True,CHEMBL3673435,1.0,CHEMBL3099964,0.6017135862913097,1.0,0.2
Cc1ccc(C)c(N2CCN(CCCNC(=O)c3nc(-c4cccnc4)no3)CC2)c1,CHEMBL254961,860.0,-6.42829092821658,-6.26771927631502,420.51700000000017,2.6905400000000013,2.3528929343716296,0.5881366391063141,87.39,7,1,7,True,CHEMBL254961,1.0,CHEMBL4783382,0.5344364456860428,1.0,0.17647058823529413
CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3cc(C(F)(F)F)c(Cl)cc3OCCCC(=O)O)cc2)ccn1,CHEMBL4761851,860.0,-7.57943180744482,-7.46812643029248,566.9200000000003,5.793300000000004,2.6063640324156196,0.22765555513937488,138.88000000000002,6,4,10,True,CHEMBL4761851,1.0,CHEMBL245733,0.5012437810945274,1.0,0.12962962962962962
CC(=O)N1CCC(Nc2cncc(C(=O)c3cn(C(C)C)c4ncnc(N)c34)n2)C1c1ccccc1,CHEMBL1940253,860.0,-8.3314696622162,-8.91632576235809,484.56400000000025,3.389400000000002,3.7832833716543286,0.3981653971724582,131.92000000000002,9,2,6,True,CHEMBL1940253,1.0,696033,0.47167868177136973,1.0,0.104
O=C(NCCCN1CCN(c2ccccc2)CC1)c1nc(-c2cccnc2)no1,CHEMBL403309,860.0,-6.44376658805935,-6.33303159853656,392.46300000000014,2.0736999999999997,2.2064840628450177,0.6160334687606622,87.39,7,1,7,True,CHEMBL403309,1.0,CHEMBL4755895,0.6511735998140832,1.0,0.2079207920792079
Cc1ccc(-c2ccc(C=C3NC(=S)NC3=O)o2)c(Br)c1,51243378,862.0,-7.65360800673535,-7.95997181556263,363.23600000000005,3.3627200000000013,2.6358483140436437,0.6347403704738257,54.269999999999996,3,2,2,True,51243378,1.0,50319404,0.5883745008134891,1.0,0.06666666666666667
COCCN1CCC(CNC(=O)c2n[nH]c3ccc(OC)cc23)CC1,CHEMBL3735497,870.0,-8.62886892903597,-7.39889446328343,346.4310000000002,1.6596999999999997,2.253216620792026,0.7970240872292684,79.48,5,2,7,True,CHEMBL3735497,1.0,CHEMBL4551217,0.6472863220317133,1.0,0.12222222222222222
COc1ccc2c(C3=C(c4cn(C)c5cc(Cl)c(F)cc45)C(=O)NC3=O)coc2c1,CHEMBL521774,870.0,-8.00270288420563,-8.50363794192472,424.81500000000017,4.292800000000002,2.7491042525184106,0.4977438218615546,73.47,5,1,3,True,CHEMBL521774,1.0,CHEMBL3220495,0.5987226076423302,1.0,0.15306122448979592
CN1CCN(c2nc(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c3ccccc3n2)CC1,CHEMBL565612,870.0,-9.47452838555674,-7.43828921530018,438.49100000000027,2.4301000000000004,2.591051141551967,0.4774001293705332,94.21999999999998,6,2,3,True,CHEMBL565612,1.0,CHEMBL1644616,0.5686395650562215,1.0,0.12
O=C(NCc1ccccc1)c1ccc(O)c2[nH]c(-c3ccccc3)nc12,CHEMBL250714,870.0,-7.13033312982398,-8.98406997664489,343.386,3.8655000000000017,2.020232121042609,0.5263152250054527,78.01,3,3,4,True,CHEMBL250714,1.0,CHEMBL400863,0.5888874729195871,1.0,0.12658227848101267
O=C(NCc1ccccc1)c1ccc(O)c2nc(-c3ccccc3)[nH]c12,50397446,870.0,-7.39355953620278,-8.490649472414,343.386,3.8655000000000017,2.0677043882490853,0.5263152250054527,78.00999999999999,3,3,4,True,50397446,1.0,CHEMBL1783492,0.5927567430669874,1.0,0.12643678160919541
COc1cccc(OC)c1C(=O)Nc1c[nH]nc1C(=O)NCc1ncccc1C,50234938,870.0,-6.24344962908136,-7.51181136320113,395.41900000000015,2.31262,2.6312510378439278,0.5649671884494611,118.23,6,3,7,True,50234938,1.0,CHEMBL1923199,0.6465925224798864,1.0,0.2289156626506024
COc1nc(-c2ccnc(NC(=O)C3CC3)c2)sc1C(=O)NCCCNC(=O)COc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,51391771,874.0,-7.35070455225694,-7.85607394161833,689.7070000000001,1.2784999999999997,3.690045147816086,0.1481338150760161,215.08999999999997,12,4,13,True,51391771,1.0,51195177,0.4313596202030858,1.0,0.1925925925925926
COc1ccc2c(c1)c(C=C1SC(=O)NC1=O)cn2C,CHEMBL4160653,890.0,-7.22423973201995,-8.09561208080604,288.32800000000003,2.5108000000000006,2.441432004182646,0.8625855999431129,60.33,5,1,2,True,CHEMBL4160653,1.0,CHEMBL220227,0.5586130109750278,1.0,0.056338028169014086
CN(C)CCCn1nc(C2=C(c3cn(-c4cccc5ccccc45)c4ccccc34)C(=O)NC2=O)c2ccccc21,CHEMBL360304,890.0,-8.61403845178452,-6.95803836602847,539.6390000000002,5.652300000000005,2.8062286758134363,0.26619501068640716,72.16,6,1,7,True,CHEMBL360304,1.0,784823,0.45548083934213723,1.0,0.09649122807017543
O=C(NCCCN1CCN(c2cccc(Cl)c2)CC1)c1nc(-c2cccnc2)no1,CHEMBL401654,890.0,-7.00133008909832,-6.27664111996866,426.90800000000024,2.7271,2.3040525292416874,0.5809395515398427,87.39,7,1,7,True,CHEMBL401654,1.0,CHEMBL4744126,0.5503200176561465,1.0,0.18
CC(=O)C1=C(c2cn(C)c3ccccc23)C(=O)NC1=O,CHEMBL1801636,890.0,-8.60804233816762,-7.60813922398144,268.272,1.1772999999999998,2.498407263922907,0.6565278257994066,68.17,4,1,2,True,CHEMBL1801636,1.0,CHEMBL1784093,0.47764833378488214,1.0,0.1388888888888889
COCCN1CCC(CNC(=O)c2n[nH]c3ccc(-c4ccc(O)cc4)cc23)CC1,607836,890.0,-10.1615663631856,-8.11230451363284,408.50200000000024,3.0237000000000016,2.3529716454702854,0.5590951985175426,90.48,5,3,7,True,607836,1.0,CHEMBL1761562,0.5410761963442186,1.0,0.12
Nc1nccc(-c2cccc(F)c2)c1N=Cc1ccnc(NC(=O)C2CC2)c1,CHEMBL4462480,891.0,-8.7231028072288,-6.78644747634743,375.40700000000015,3.964000000000002,2.6619054292780486,0.6601469277862156,93.25999999999999,5,2,5,True,CHEMBL4462480,1.0,CHEMBL482708,0.5644283121597096,1.0,0.16470588235294117
Cc1nc(-c2ccc(O)cc2)c(-c2ccnc(NC(=O)C3CC3)c2)[nH]1,CHEMBL4453072,893.0,-8.28469946394029,-9.12998381616067,334.3790000000001,3.501220000000001,2.379672254594844,0.6808484205772253,90.9,4,3,4,True,CHEMBL4453072,1.0,CHEMBL4074524,0.6820615796519411,1.0,0.323943661971831
CCOC(=O)c1nc(-c2ccc(F)cc2)c(-c2ccnc(NC(=O)C3CC3)c2)[nH]1,CHEMBL4518634,899.0,-6.55140195637917,-8.39583803972228,394.4060000000001,3.8030000000000017,2.4590825575437414,0.6199966550498022,96.97,5,2,6,True,CHEMBL4518634,1.0,CHEMBL1822145,0.535383560077741,1.0,0.17894736842105263
COc1cc2c(cc1OC)-c1[nH]c3ccccc3c1CC(=O)N2,CHEMBL431634,899.5,-8.66100283826531,-8.42230163212712,308.33700000000005,3.346700000000001,2.307181731015792,0.762898391761095,63.35,3,2,2,True,CHEMBL431634,1.0,CHEMBL1644616,0.6329721362229102,1.0,0.08695652173913043
COc1cc(C=CC(O)=CC(=O)C=Cc2ccc(OCc3ccccc3)cc2)ccc1O,CHEMBL3763944,900.0,-6.74699368315681,-8.87234879476566,428.48400000000015,5.717400000000005,2.4448274614594805,0.2590676566883447,75.99000000000001,5,2,9,True,CHEMBL3763944,1.0,CHEMBL4862656,0.587536202936183,1.0,0.12871287128712872
Cn1cc(C2=C(c3cn(CCN4CCOCC4)c4ccccc34)C(=O)NC2=O)c2ncccc21,CHEMBL549286,900.0,-8.09771583274074,-6.54170292264991,455.5180000000001,2.4274000000000004,2.805946127388051,0.46773291185496857,81.39,7,1,5,True,CHEMBL549286,1.0,CHEMBL437747,0.5086417518776581,1.0,0.12871287128712872
