SMILES,Title,IC50nM,6Y9S_SP,4WHZ_SP,Weight,LogP,SA,QED,TPSA,HBA,HBD,RotBond,Filtered,3D_best_gsk3b,3D_sim_gsk3b,3D_best_jnk3,3D_sim_jnk3,3D_sim_2D_gsk3b,3D_sim_2D_jnk3
O=C(Cc1cc(F)cc2ncccc12)Nc1scc(Br)c1-c1ncn[nH]1,CHEMBL1822134,41.0,-7.22920320467083,-8.32697001654277,432.2780000000001,4.164200000000002,2.8515014894636614,0.5073900084017046,83.56,5,2,4,True,CHEMBL3828624,0.6703714536414156,CHEMBL1822134,1.0,0.1511627906976744,1.0
O=C(Cc1cc(F)cc2ncccc12)Nc1scc(Br)c1-c1nnc[nH]1,50659437,41.0,-7.23613199782664,-8.45712694254035,432.2780000000001,4.164200000000002,3.07105348946366,0.5073900084017046,83.56,5,2,4,True,CHEMBL3828624,0.6688577271399357,50659437,1.0,0.1511627906976744,1.0
N#CC(c1ccnc(NCCc2ccc(S(N)(=O)=O)cc2)n1)c1nc2ccccc2s1,50383522,41.0,-8.41724538947436,-10.6762787357112,450.54900000000015,3.0437800000000017,3.0878448039080997,0.4416833514610269,134.65,8,2,7,True,50885167,0.5878753541076487,50383522,1.0,0.696969696969697,1.0
COc1ccccc1Nc1ccc2c(cnn2-c2cccc(C(=O)NCCCN3CCOCC3)c2)c1,CHEMBL2376917,43.0,-7.62538211325643,-9.62026594519124,485.5880000000004,4.229800000000004,2.364882218316712,0.34555195814796447,80.64999999999999,7,2,9,True,1216168,0.5607170393215112,CHEMBL2376917,1.0,0.1834862385321101,1.0
CC(=O)N1CCC(C(=O)Nc2cc(-c3ccnc(Nc4ccccc4)c3)ccn2)CC1,CHEMBL204757,44.0,-9.00005224677311,-10.7287809662874,415.4970000000001,4.084200000000003,2.2537437036023977,0.6555495605552571,87.22,5,2,5,True,CHEMBL2390958,0.6245753777673656,CHEMBL204757,1.0,0.09333333333333334,1.0
COc1ccc(Oc2cc(Nc3ccc(F)cc3C(N)=O)c(C(F)(F)F)cn2)cc1,CHEMBL1923207,45.0,-7.95992123369501,-7.83746929504918,421.3500000000001,4.882900000000002,2.3945839493276253,0.5541415149439348,86.47000000000001,5,2,6,True,CHEMBL3828350,0.5674651674407236,CHEMBL1923207,1.0,0.11764705882352941,1.0
CC1(NC(=O)c2cc(-n3cc(NC(=O)Nc4ccccc4Cl)cn3)cs2)COC1,CHEMBL4758113,45.0,-7.57220100720559,-7.68616503324856,431.90500000000014,3.749900000000002,2.823726084748243,0.5726893088925534,97.28,6,3,5,True,CHEMBL3950215,0.6403137450199203,CHEMBL4758113,1.0,0.12371134020618557,1.0
CC(=O)Nc1cc(-c2c(-c3ccc(F)cc3)nc(SC=CC(=O)O)n2C2CCCC2)ccn1,CHEMBL3394104,45.0,-6.70618290663432,-6.47635561481268,466.53800000000024,5.515100000000003,2.8632451370511482,0.35176003628924357,97.11,6,2,7,True,CHEMBL4455711,0.51875,CHEMBL3394104,1.0,0.44,1.0
CCOc1ccc(NC(=O)c2cccc(-n3ncc4cc(Nc5ccccc5F)ccc43)c2)cc1OC,CHEMBL2376911,46.0,-9.49566895505469,-9.50802027024388,496.5420000000002,6.5678000000000045,2.285614773519768,0.25415881478285873,77.41,6,2,8,True,14673,0.596836002751302,CHEMBL2376911,1.0,0.21782178217821782,1.0
CC(=O)Nc1cc(-c2c(-c3ccc(F)cc3)nc(SC=CC(=O)O)n2C2CCC2)ccn1,CHEMBL3394103,47.0,-6.98265201335262,-8.03200687188295,452.5110000000002,5.125000000000003,2.8601602039343987,0.38125503420243545,97.11,6,2,7,True,CHEMBL593375,0.4925864909390445,CHEMBL3394103,1.0,0.12931034482758622,1.0
