SMILES,Title,IC50nM
Cn1cc(C2=C(c3cnc4ccccn34)C(=O)NC2=O)c2cc(Br)ccc21,CHEMBL2386272,0.87
CC(=O)N1CCn2cc(C3=C(c4cncc5ccoc45)C(=O)NC3=O)c3cccc(c32)C1,51159591,0.9
Cn1cc(C2=C(c3coc4cc(CO)ccc34)C(=O)NC2=O)c2cc(F)c(Cl)cc21,CHEMBL522590,0.95
CS(=O)(=O)Nc1ccc(CCNC(=O)c2ccc(O)c3[nH]c(-c4ccc(F)cc4)nc23)cc1,CHEMBL1957949,1.0
O=C(Nc1n[nH]c2nc(-c3ccc(O)cc3)c(Cl)cc12)C1CC1,CHEMBL260664,1.0
Nc1ncc(-c2ccccc2)nc1C(=O)Nc1ccccc1N1CCC(N)CC1,CHEMBL3943813,1.0
Cn1cc(C2=C(c3cccc(NCCCO)c3)C(=O)NC2=O)c2ccccc21,CHEMBL1082151,1.0
CC1COc2c(NCCCn3ccnc3)c(F)c(N)c3c(=O)c(C#N)cn1c23,CHEMBL1940986,1.0
CCS(=O)(=O)Nc1ccc(CCNC(=O)c2ccnc3[nH]c(-c4ccoc4)nc23)cc1,CHEMBL2048663,1.0
CN1CCC(C(=O)Nc2n[nH]c3nc(-c4ccc(O)cc4)c(Br)cc23)CC1,CHEMBL261129,1.0
CS(=O)(=O)Nc1ccc(CCNC(=O)c2ccc(O)c3nc(-c4ccc(F)cc4)[nH]c23)cc1,50721049,1.0
CCS(=O)(=O)Nc1ccc(CCNC(=O)c2ccnc3nc(-c4ccoc4)[nH]c23)cc1,50943609,1.0
Cc1cc(C)cc(Nc2nccc(-c3cnn4ncccc34)n2)c1,51236884,1.0
CCC(=O)N1CCn2cc(C3=C(c4cncc5ccoc45)C(=O)NC3=O)c3cccc(c32)C1,51159582,1.0
c1cnn2ncc(-c3ccnc(Nc4ccc5c(c4)OCCO5)n3)c2c1,51236886,1.0
O=CN1Cc2cc(F)cc3c(C4=C(c5cnc6ccccn56)C(=O)NC4=O)cn(c23)CC1N1CCCCC1,CHEMBL4165510,1.1
Cn1c(N2CCNC(c3cccc(Cl)c3)C2)nc(-c2ccncn2)cc1=O,CHEMBL4067532,1.1
COc1nc(-c2ccnc(NC(=O)C3CC3)c2)sc1C(N)=O,CHEMBL3410089,1.1
CC(=O)N1CCn2cc(C3=C(c4cccc5c4OCC5)C(=O)NC3=O)c3cccc(c32)C1,51159601,1.1
Cn1cc(C2=C(c3coc4ccccc34)C(=O)NC2=O)c2cccc(CCC(=O)O)c21,CHEMBL490842,1.2
Cl.Cn1c(N2CCNC(c3ccc(Cl)cc3)C2)nc(-c2ccncn2)cc1=O,CHEMBL4105346,1.2
CC1CN(c2ccc(Cl)cc2)CCN1c1nc(-c2ccncn2)cc(=O)n1C,CHEMBL4077048,1.2
CN(C)C(=O)N1CCn2cc(C3=C(c4cncc5ccoc45)C(=O)NC3=O)c3cccc(c32)C1,51159599,1.2
CC(C)OC(=O)N1CCn2cc(C3=C(c4cnc5ccccn45)C(=O)NC3=O)c3cccc(c32)C1,CHEMBL363058,1.3
O=CN1Cc2cccc3c(C4=C(c5cnc6ccccn56)C(=O)NC4=O)cn(c23)CC1N1CCOCC1,CHEMBL4162850,1.3
CC(C)OC1Cn2cc(C3=C(c4cnc5ccccn45)C(=O)NC3=O)c3cccc(c32)CN1C=O,CHEMBL4164416,1.3
O=C1NC(=O)C(c2cnc3ccccn23)=C1c1cn2c3c(cccc13)CN(C(=O)N1CCOCC1)CC2,CHEMBL178737,1.3
O=C1NC(=O)C(c2ccn3ncccc23)=C1c1cn2c3c(cccc13)CN(C(=O)N1CCOCC1)CC2,51159572,1.3
CC(=O)c1ccc(-c2c[nH]c3ncc(C=CC(=O)NCCc4ccccn4)cc23)cc1,CHEMBL4521500,1.37
CC1CN(c2ccccc2)CCN1c1nc(-c2ccncn2)cc(=O)n1C,CHEMBL3719193,1.4
CC1COc2c(NCCCc3ccccc3)c(F)c(N)c3c(=O)c(C#N)cn1c23,CHEMBL1940979,1.4
CCC(CO)CNC(=O)OC1CCC(c2cc(NC(=O)Cc3ccc(OC)nc3)n[nH]2)C1,51354423,1.4
CC(=O)c1ccc(-c2c[nH]c3ncc(C=CC(=O)NCc4ccncc4)cc23)cc1,51320397,1.4
COc1cnc(-c2cnc3ccccc3c2)nc1-c1cc2c([nH]1)CCNC2=O,50977209,1.49
Cc1cc(-c2cc(-c3nc4ccc(CN5CCN(C)CC5)cc4[nH]3)c(=O)[nH]n2)cc(C)c1O,CHEMBL270473,1.5
CC(=O)N1CCn2cc(C3=C(c4cccc5ccoc45)C(=O)NC3=O)c3cccc(c32)C1,51159589,1.5
CN(C)CCNC(=O)c1ccc(C=NNc2ncnc3c2cnn3-c2cccc3[nH]cnc23)cc1,CHEMBL304533,1.585
CN(C)C(=O)N1CCn2cc(C3=C(c4cnc5ccccn45)C(=O)NC3=O)c3cccc(c32)C1,CHEMBL362814,1.6
CN(C)C1Cn2cc(C3=C(c4cnc5ccccn45)C(=O)NC3=O)c3cccc(c32)CN1C=O,CHEMBL4169204,1.6
O=C1NC(=O)C(c2cnc3ccccn23)=C1c1cn2c3c(cccc13)CN(C(=O)N1CCCCC1)CC2,51159551,1.6
Cn1c(N2CCNC(c3ccc(Cl)cc3)C2)nc(-c2ccncn2)cc1=O,CHEMBL4104714,1.7
COc1cc(F)cc(F)c1C1CN(c2nc(-c3ccncn3)cc(=O)n2C)CCN1.Cl,CHEMBL4071429,1.7
O=C1NC(=O)C(c2cnc3ncccn23)=C1c1cn2c3c(cccc13)CN(C(=O)N1CCOCC1)CC2,51159587,1.7
COc1ccccc1C1CN(c2nc(-c3ccncc3)cc(=O)n2C)CCN1.Cl,CHEMBL4085821,1.8
Cn1cc(C2=C(c3cccc(CC(O)CO)c3)C(=O)NC2=O)c2cc(F)ccc21,CHEMBL1081973,1.8
Cn1cc(C2=C(c3cccc(N)c3)C(=O)NC2=O)c2ccccc21,CHEMBL54547,1.8
COc1ccccc1C1CN(c2nc(-c3ccncn3)cc(=O)n2C)CCN1.Cl,CHEMBL4065624,1.8
CC(C)C(=O)N1CCn2cc(C3=C(c4cnc5ccccn45)C(=O)NC3=O)c3cccc(c32)C1,51159563,1.8
O=C1NC(=O)C(c2cn3c4c(cc(F)cc24)CN(C(=O)N2CCCCC2)CC3)=C1c1coc2ccccc12,CHEMBL2386092,1.9
O=C1NC(=O)C(c2cnc3ncccn23)=C1c1cn2c3c(cccc13)CN(C(=O)N1CCCCC1)CC2,51159566,1.9
CC(=O)N1CCn2cc(C3=C(c4cnc5ccccn45)C(=O)NC3=O)c3cccc(c32)C1,51159578,1.9
C#Cc1ccc2c(c1)[nH]c1ncnc(N3CCC4CCN(CCC#N)CC43)c12,CHEMBL5077814,1.995
O=CN1Cc2cccc3c(C4=C(c5cnc6ccccn56)C(=O)NC4=O)cn(c23)CC1N1CCCCC1,CHEMBL4172295,2.0
COc1ccc(-c2nc3c(C(=O)Nc4cnccc4C)ccnc3[nH]2)cc1,CHEMBL2048680,2.0
O=[N+]([O-])c1cccc(Nc2nccc(-c3cnn4ncccc34)n2)c1,CHEMBL526110,2.0
CCS(=O)(=O)Nc1ccc(CCNC(=O)c2ccc(O)c3[nH]c(-c4ccc(F)cc4Cl)nc23)cc1,CHEMBL549953,2.0
CCS(=O)(=O)Nc1ccc(CCNC(=O)c2ccnc3[nH]c(-c4ccc(F)cc4F)nc23)cc1,CHEMBL2048660,2.0
COc1cc(F)cc(F)c1C1CN(c2nc(-c3ccncc3)cc(=O)n2C)CCN1.Cl,CHEMBL4098458,2.0
COc1ccncc1NC(=O)c1ccnc2[nH]c(-c3cccc(Cl)c3)nc12,CHEMBL2048684,2.0
COc1ccncc1NC(=O)c1ccnc2[nH]c(-c3ccncc3)nc12,CHEMBL2048685,2.0
Cl.Cn1c(N2CCNC(c3cccc(Br)c3)C2)nc(-c2ccncn2)cc1=O,CHEMBL4088777,2.0
N=C1NC(=O)C(=Cc2ccc(-c3ccc(S(N)(=O)=O)c(C(F)(F)F)c3)o2)S1,CHEMBL233970,2.0
COc1cc(C2=C(c3cn(CCCO)c4ccccc34)C(=O)NC2=O)cc(OC)c1OC,CHEMBL3699446,2.0
COc1ccncc1NC(=O)c1ccnc2nc(-c3ccncc3)[nH]c12,50943631,2.0
Cc1c[nH]c(-c2cnc(NCCNc3ccc(C#N)cn3)nc2-c2ccc(Cl)cc2Cl)n1,1121063,2.0
COc1ccc(-c2nc3nccc(C(=O)Nc4cnccc4C)c3[nH]2)cc1,51304662,2.0
CCS(=O)(=O)Nc1ccc(CCNC(=O)c2ccnc3nc(-c4ccc(F)cc4F)[nH]c23)cc1,50943606,2.0
COc1ccncc1NC(=O)c1ccnc2nc(-c3cccc(Cl)c3)[nH]c12,50943630,2.0
CCS(=O)(=O)Nc1ccc(CCNC(=O)c2ccc(O)c3nc(-c4ccc(F)cc4Cl)[nH]c23)cc1,50506656,2.0
COc1ccc(CNC(=O)Nc2ncc([N+](=O)[O-])s2)cc1,CHEMBL259850,2.07
COc1ccc(C=C2SC(=NCc3ccccc3)NC2=O)cc1[N+](=O)[O-],CHEMBL3949218,2.1
O=C1NC(=O)C(c2cnc3cnccn23)=C1c1cn2c3c(cccc13)CN(C(=O)N1CCCCC1)CC2,51159597,2.1
O=C1NC(=O)C(c2cncc3ccoc23)=C1c1cn2c3c(cccc13)CN(C(=O)N1CCCCC1)CC2,51159557,2.1
CC1CN(c2cccc(C#N)c2)CCN1c1nc(-c2ccncn2)cc(=O)n1C,CHEMBL4074586,2.2
COc1ccc(-n2cnc3ccc(-c4nnc(SCc5cccc(C#N)c5)o4)cc32)cc1,CHEMBL516640,2.3
Cn1c(N2CCNC(c3ccc(Cl)c(Cl)c3)C2)nc(-c2ccncn2)cc1=O,CHEMBL4072455,2.3
COc1ccc(-n2cnc3ccc(-c4n[nH]c(=S)o4)cc32)cc1,51109190,2.3
CC1COc2c(NCCCc3ccccn3)c(F)c(N)c3c(=O)c(-c4nnn[nH]4)cn1c23,CHEMBL1940989,2.4
O=C1NCCCc2cc(-c3ccnc(NC(=O)C4CC4)c3)ccc21,CHEMBL3410096,2.4
O=C1NCCc2cc(-c3ccnc(NC(=O)C4CC4)c3)ccc21,CHEMBL3410094,2.4
COc1ccc(C2=C(c3cn(C)c4ccccc34)C(=O)NC2=O)c(OC)c1,CHEMBL1088149,2.4
COc1ccc(-n2cnc3ccc(-c4nnc(SCc5cccc(C(F)(F)F)c5)o4)cc32)cc1,CHEMBL513570,2.5
CN1CCC(C2=C(C#N)C(c3cccc4nonc34)c3c[nH]nc3N2)CC1,CHEMBL3085387,2.5
CC(=O)N1CCn2cc(C3=C(c4cccc5c4OCO5)C(=O)NC3=O)c3cccc(c32)C1,51159561,2.5
COc1cccc(-n2ncc3c(NN=Cc4ccc(S(C)(=O)=O)cc4)ncnc32)c1,51185476,2.5
NCCCc1ccc2c(c1)-c1[nH]c3ccc([N+](=O)[O-])cc3c1CC(=O)N2,169535,2.5
COc1cccc(-n2ncc3c(N=NCc4ccc(N)cc4)ncnc32)c1,14667,2.51
COc1cccc(-n2ncc3c(N=NCc4ccc(S(C)(=O)=O)cc4)ncnc32)c1,14669,2.51
COc1cccc(-n2ncc3c(NN=Cc4ccc(N)cc4)ncnc32)c1,CHEMBL303630,2.512
Cn1c(N2CCNC(c3ccccc3Cl)C2)nc(-c2ccncn2)cc1=O,CHEMBL4073837,2.6
CNC1CC2OC(C)(C1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,50414711,2.6
CC1CN(c2ccc(C#N)cc2)CCN1c1nc(-c2ccncn2)cc(=O)n1C,CHEMBL4093559,2.7
CN(C)C(=O)N1CCn2cc(C3=C(c4cccc5ccoc45)C(=O)NC3=O)c3cccc(c32)C1,51159575,2.7
COc1ccc(Cn2ncc(NC(=O)c3cc(NC(=O)Nc4ccc(Cl)c(C(F)(F)F)c4)ccc3C)c2N)cc1,CHEMBL1684800,2.73
O=C(C=Cc1cnc2[nH]cc(-c3ccncc3)c2c1)NCc1ccncc1,CHEMBL4449746,2.75
Cn1cc(C2=C(c3cn(CCCSC(=N)N)c4ccccc34)C(=O)NC2=O)c2ccccc21,CHEMBL6291,2.8
COc1ccc(C2CN(c3nc(-c4ccncn4)cc(=O)n3C)CCO2)cc1,CHEMBL3091538,2.9
CCS(=O)(=O)Nc1ccc(CCNC(=O)c2ccnc3[nH]c(-c4ccsc4)nc23)cc1,CHEMBL2048662,3.0
CCOc1ccncc1NC(=O)c1ccnc2[nH]c(-c3ccc(F)cc3)nc12,CHEMBL2048678,3.0
N#Cc1sc(NC2CCCN(c3nc(-c4ccc(Cl)cc4Cl)cn4nc(C(=O)O)cc34)C2)nc1N,CHEMBL3647955,3.0
CN(C)c1nc2ccc1CCCn1cc(c3ccccc31)C1=C(C(=O)NC1=O)c1cn(c3ccccc13)CC2,CHEMBL1162963,3.0
O=C(O)c1ccc(Nc2ncc([N+](=O)[O-])c(NC34CC5CC(CC(O)(C5)C3)C4)n2)cc1,CHEMBL402902,3.0
COc1cccc(-c2nc3c(C(=O)Nc4cnccc4C)ccnc3[nH]2)c1,CHEMBL2048681,3.0
CCOc1ccncc1NC(=O)c1ccnc2[nH]c(-c3cccnc3)nc12,CHEMBL2048682,3.0
CS(=O)(=O)Nc1ccc(CCNC(=O)c2ccnc3[nH]c(-c4ccoc4)nc23)cc1,CHEMBL2048670,3.0
O=C(NCCCn1ccnc1)c1ccc(O)c2[nH]c(-c3ccc(F)c(Cl)c3)nc12,CHEMBL1957956,3.0
NC(=O)c1nc(C2CCCCC2)c(-c2ccnc(NC(=O)C3CC3)c2)[nH]1,CHEMBL4526183,3.0
