Method,valid,unique@1000,unique@10000,FCD/Test,SNN/Test,Frag/Test,Scaf/Test,FCD/TestSF,SNN/TestSF,Frag/TestSF,Scaf/TestSF,IntDiv,IntDiv2,Filters,logP_dis,logP_avg,SA_dis,SA_avg,QED_dis,QED_avg,weight_dis,weight_avg,Novelty
AIxFuse_init_gsk3b,0.9594,1.0,1.0,8.270592997116019,0.4613373791404831,0.9407008306870723,0.0967019051369663,20.980679261889804,0.3655216756704104,0.902353516113574,0.004943914893148826,0.8364763216452412,0.8287469876323597,0.7936210131332082,1.649953815916826,5.005796043360436,0.3655388772831124,3.1021278010072044,0.2443384919302667,0.3051000278569508,133.66034202748116,527.3963619970817,0.999166145507609
AIxFuse_init_jnk3,0.9594,1.0,1.0,11.359826820674598,0.43460066134119024,0.97491902383182,0.03399673914463186,20.980679261889804,0.3655216756704104,0.902353516113574,0.004943914893148826,0.8364763216452412,0.8287469876323597,0.7936210131332082,0.8158473453514858,5.005796043360436,0.4252222064751803,3.1021278010072044,0.2020160694092898,0.3051000278569508,101.6957960320491,527.3963619970817,0.9996873045653534
AIxFuse_gsk3b,1.0,0.841,0.8967,16.73805671206574,0.4725068466126919,0.878038299651386,0.04147308180356035,32.07660307213254,0.38067323255836966,0.8300576896323725,0.00011026167286654065,0.7186198781042481,0.7052319004712821,0.8707,0.10381709124060168,3.2659304650000007,0.18308246702902983,2.7011487619901726,0.04052540548432659,0.5136983448463676,27.9215848488722,419.0688263000001,0.9984387197501952
AIxFuse_jnk3,1.0,0.841,0.8967,24.93165073578873,0.45413487992286683,0.9513103142484117,0.013886692742289375,32.07660307213254,0.38067323255836966,0.8300576896323725,0.00011026167286654065,0.7186198781042481,0.7052319004712821,0.8707,0.9406225785903931,3.2659304650000007,0.08861229857091822,2.7011487619901726,0.01644564428335677,0.5136983448463676,10.883283851959547,419.0688263000001,0.9998884799821568
MARS_gsk3b,1.0,0.509,0.2414,53.78877417524655,0.35993061294704676,0.6877180350802226,0.0002536005305595612,61.485971509400954,0.40147930168807505,0.6053951593416113,0.0006694381661505044,0.5970939907733155,0.5774142949467909,0.9998,0.4284185088270681,3.1791733420000012,0.29913758921246214,2.485705096660793,0.2279464453917134,0.777351641474398,103.73130561278208,291.39849790000005,1.0
MARS_jnk3,1.0,0.509,0.2414,46.81373418155721,0.4456688774317503,0.8126889388198233,0.0024530713689336903,61.485971509400954,0.40147930168807505,0.6053951593416113,0.0006694381661505044,0.5970939907733155,0.5774142949467909,0.9998,1.0328032879873592,3.1791733420000012,0.21101941671832888,2.485705096660793,0.27029522640972264,0.777351641474398,136.59195595587875,291.39849790000005,1.0
gsk3b_gsk3b,1.0,1.0,1.0,2.4158453015843406e-13,1.0,1.0,1.0,18.583518163731263,0.3973254763444227,0.9417645752839826,0.0045176286710916225,0.8532576499748704,0.8360407196884629,0.8092105263157895,0.0,3.3558422274436106,0.0,2.784757075323407,0.0,0.5494051960826846,0.0,395.0976419172934,0.0
gsk3b_jnk3,1.0,1.0,1.0,19.64676352848567,0.2924341287645966,0.8687381674869422,0.0039182118562796076,18.583518163731263,0.3973254763444227,0.9417645752839826,0.0045176286710916225,0.8532576499748704,0.8360407196884629,0.8092105263157895,0.8504545361467838,3.3558422274436106,0.09830131777584203,2.784757075323407,0.04334839004603942,0.5494051960826846,35.13696828631314,395.0976419172934,0.9981203007518797
jnk3_gsk3b,1.0,0.9987357774968394,0.9987357774968394,19.646763528479468,0.3438462176643943,0.8687381674869422,0.0039182118562796076,23.207552260509956,0.4021325902224491,0.8490096434199957,3.0371529795125696e-05,0.8255846185611392,0.8021876230094346,0.8950695322376738,0.8504545361467838,4.206296763590394,0.09830131777584203,2.6967245133791224,0.04334839004603942,0.5070593245805732,35.13696828631314,427.99045385587874,0.9949367088607595
jnk3_jnk3,1.0,0.9987357774968394,0.9987357774968394,2.5863755581667647e-12,1.0,1.0,1.0,23.207552260509956,0.4021325902224491,0.8490096434199957,3.0371529795125696e-05,0.8255846185611392,0.8021876230094346,0.8950695322376738,0.0,4.206296763590394,0.0,2.6967245133791224,0.0,0.5070593245805732,0.0,427.99045385587874,0.002531645569620253
RationaleRL_gsk3b,0.9993,0.856,0.5327729410587411,28.1478977665603,0.3796006073277001,0.6262875968438536,0.0,35.884025541671804,0.4024301682174188,0.55978133820379,0.0,0.6564204955700942,0.6276776218966478,0.9240468327829481,0.7990592099262728,4.117987151005706,0.2771330657885688,3.0199728451914893,0.11202311931317498,0.6392874993924168,22.4673383922317,381.28223806664676,1.0
RationaleRL_jnk3,0.9993,0.856,0.5327729410587411,27.801375979604742,0.4374332961038368,0.694905380106177,0.08911779812268239,35.884025541671804,0.4024301682174188,0.55978133820379,0.0,0.6564204955700942,0.6276776218966478,0.9240468327829481,0.2619682190782602,4.117987151005706,0.32383932377673835,3.0199728451914893,0.14105259304384385,0.6392874993924168,49.93287065927187,381.28223806664676,1.0
ReINVENT_gsk3b,0.989,0.959,0.8261880687563196,29.464575165220467,0.3515705935754959,0.22106922609814383,0.00010098069054131908,39.515612819429386,0.3777340608205424,0.1470287173033591,2.318112274646289e-05,0.7221639657796455,0.7052372322755212,0.9176946410515673,1.8354083023845018,5.191145029322551,0.1425610924141544,2.648370705285021,0.12150415632183509,0.4295593599809537,11.107984910329387,401.02984216380185,1.0
ReINVENT_jnk3,0.989,0.959,0.8261880687563196,30.745372213541074,0.410786774107401,0.14950087908298282,0.009615836572564151,39.515612819429386,0.3777340608205424,0.1470287173033591,2.318112274646289e-05,0.7221639657796455,0.7052372322755212,0.9176946410515673,0.9856052784753666,5.191145029322551,0.0745529897940405,2.648370705285021,0.08202283089690822,0.4295593599809537,27.08066861251266,401.02984216380185,0.9998776159588789
