SMILES,Title,IC50nM,5NTP_XP,6QU7_XP,Weight,LogP,SA,QED,TPSA,HBA,HBD,RotBond,Filtered,3D_best_rorgt,3D_sim_rorgt,3D_best_dhodh,3D_sim_dhodh,3D_sim_2D_rorgt,3D_sim_2D_dhodh
CCn1c(C(=O)OC)nn(-c2cc(OC(C)C(F)(F)F)c(C(=O)Nc3c(F)cccc3F)cc2F)c1=O,1098849,0.0,-9.55690229101204,-11.4211605200968,532.3970000000002,3.839700000000003,3.4346244910635306,0.36649600363239704,104.44999999999999,8,1,7,True,578519,0.5000425350914505,1098849,1.0,0.13445378151260504,1.0
CONC(=O)c1c(C)c(-c2ccc(-c3ccccc3F)cc2)nc2ccc(F)cc12,51370198,0.12,-10.5450203293506,-8.23662036854348,404.4160000000001,5.446620000000004,2.2799659784395487,0.46055562173365605,51.22,3,1,4,True,826980,0.5539455649109066,51370198,1.0,0.1111111111111111,1.0
Cc1ccccc1-n1cc(C(C)C)c2cc(-c3ccc(C)c(N)n3)c(F)cc2c1=O,1121364,0.18,-7.54793339459925,-13.7471097035382,401.4850000000002,5.5142400000000045,2.615443448864232,0.49203098885485147,60.910000000000004,4,1,3,True,795460,0.571986970684039,1121364,1.0,0.1744186046511628,1.0
CCn1c(CO)nn(-c2nc(OC(C)C(F)(F)F)c3c(Oc4c(F)cccc4Cl)nncc3c2F)c1=O,51423569,0.2,-7.31726565212158,-13.3237690905506,546.8400000000003,3.9379000000000017,4.056571759636541,0.3465063458040645,117.18,10,1,7,True,708930,0.51045408492217,51423569,1.0,0.14782608695652175,1.0
Cc1cn(-c2cc(OC(C)C(F)(F)F)c(C(=O)Nc3c(C)n[nH]c3Cl)cc2F)nc1C(C)O,1121395,0.22,-10.0535296273105,-12.9482438147289,489.8570000000001,4.639940000000004,3.9752883071777916,0.43745871389092145,105.06,6,3,6,False,CHEMBL3596632,0.5636077195746356,1121395,1.0,0.18446601941747573,1.0
CCn1c(CO)nn(-c2cc3c(C(C)C)cn(-c4c(F)cccc4Cl)c(=O)c3cc2F)c1=O,1226000,0.222,-7.93800681342943,-13.88343700084,474.89500000000015,3.905300000000003,3.0874810453981194,0.4752975399850835,82.04999999999998,7,1,5,True,795460,0.593291846851598,1226000,1.0,0.20430107526881722,1.0
C=C(c1cn(-c2ccccc2C)c(=O)c2cc(F)c(-n3nc(CO)n(CC)c3=O)cc12)C(F)(F)F,1226070,0.226,-8.11569650643921,-14.1454575598333,488.44100000000014,3.873320000000003,3.1546709858662503,0.43269519618457486,82.04999999999998,7,1,5,True,795443,0.5459037454293902,1226070,1.0,0.19801980198019803,1.0
C=C(C)c1cn(-c2cccc(OC)c2Cl)c(=O)c2cc(F)c(-n3nc(CO)n(CC)c3=O)cc12,1226059,0.24,-8.32925451105716,-13.4666206080569,484.91500000000025,3.6845000000000026,3.1134639708349274,0.45051751522844946,91.28,8,1,6,True,795460,0.5403645833333333,1226059,1.0,0.15841584158415842,1.0
C=C(C)c1cn(-c2cc(F)ccc2C)c(=O)c2cc(F)c(-n3nc(CO)n(CC)c3=O)cc12,1226071,0.249,-8.235073226378,-13.8412030485156,452.46100000000024,3.4700200000000025,3.0594979684750427,0.5028394468314298,82.04999999999998,7,1,5,True,795443,0.5549573344169036,1226071,1.0,0.13333333333333333,1.0
CCn1c(CO)nn(-c2cc3c(C(C)C(F)(F)F)cn(-c4ccccc4C)c(=O)c3cc2F)c1=O,1226091,0.26,-7.71178715711212,-14.2427388409691,490.4570000000002,3.9636200000000024,3.5520242592147584,0.4296311024936673,82.04999999999998,7,1,5,True,709051,0.5156077855306647,1226091,1.0,0.14018691588785046,1.0
C=C(C)c1cn(-c2c(F)cccc2Cl)c(=O)c2cc(F)c(-n3nc(CO)n(CC)c3=O)cc12,51360201,0.265,-8.19330247760822,-13.7879491014691,472.87900000000025,3.815000000000003,3.172011814628889,0.47857474670064565,82.04999999999998,7,1,5,True,795460,0.5898137430285173,51360201,1.0,0.2,1.0
C=C(C)c1cn(-c2c(F)ccc(OC)c2Cl)c(=O)c2cc(F)c(-n3nc(CO)n(CC)c3=O)cc12,51360202,0.267,-8.52394315836597,-12.7396793330208,502.9050000000003,3.8236000000000034,3.2788301761496506,0.43260232202556553,91.28,8,1,6,True,795460,0.5478036175710594,51360202,1.0,0.12380952380952381,1.0
CCn1c(CO)nn(-c2cc3c(C(C)C)cn(-c4c(F)ccc(OC)c4Cl)c(=O)c3cc2F)c1=O,1226069,0.273,-7.54570324200213,-13.9715631275732,504.9210000000002,3.9139000000000035,3.1987483947731334,0.42966117348418253,91.28,8,1,6,True,795460,0.5658345077511576,1226069,1.0,0.1262135922330097,1.0
C=C(C)c1cn(-c2c(C)n[nH]c2Cl)c(=O)c2cc(F)c(-n3nc(CO)n(CC)c3=O)cc12,1226049,0.286,-6.86135874983077,-12.069670697812,458.88100000000026,2.707420000000001,3.4750269943853267,0.4774308272096535,110.72999999999999,8,2,5,False,795443,0.5675703642384107,1226049,1.0,0.12844036697247707,1.0
C=C(C)c1cn(-c2cc(C)ccc2C)c(=O)c2cc(F)c(-n3nc(CO)n(CC)c3=O)cc12,1226076,0.292,-8.35767763267423,-13.7996726885375,448.4980000000002,3.6393400000000025,3.0341764300135052,0.5054636865589514,82.04999999999998,7,1,5,True,795443,0.5545004545913729,1226076,1.0,0.13333333333333333,1.0
CCn1c(CO)nn(-c2cc(OC(C)C(F)(F)F)c3c(Oc4c(F)ccc(OC)c4Cl)nccc3c2)c1=O,51423568,0.3,-7.75154114697326,-11.8569741978956,556.9000000000002,5.017400000000004,3.7304372626582545,0.3042439736622942,100.63,9,1,8,True,596177,0.4888383797386151,51423568,1.0,0.12295081967213115,1.0
Cc1cn(-c2cc(OC(C)C(F)(F)F)c(C(=O)Nc3c(F)cccc3Cl)cc2F)nc1C(C)O,1121393,0.3,-10.4135918459546,-13.2217954591036,503.855,5.747520000000004,3.6662964053822797,0.4201106029191865,76.38,5,2,6,True,351240,0.5697685772873743,1121393,1.0,0.14018691588785046,1.0
C=C(C)c1nn(-c2c(F)cccc2Cl)c(=O)c2cc(F)c(-n3nc(CO)n(CC)c3=O)cc12,1226016,0.32,-6.70581937196873,-13.2162026964646,473.86700000000025,3.2100000000000017,3.154862583859659,0.4800400708314671,94.94,8,1,5,True,669311,0.48974451241453765,1226016,1.0,0.13636363636363635,1.0
CCn1c(CO)nn(-c2nc3c(C(C)C)cn(-c4c(F)cccc4Cl)c(=O)c3cc2F)c1=O,1226025,0.356,-8.10957201529398,-13.4499190667205,475.8830000000002,3.300300000000002,3.230485660782735,0.4776508614519258,94.94,8,1,5,True,795460,0.5647620035258737,1226025,1.0,0.18556701030927836,1.0
CCn1c(CO)nn(-c2nc(OC(C)C(F)(F)F)c3c(Nc4c(F)cccc4Cl)nncc3c2F)c1=O,51423571,0.38,-9.42093684159329,-12.9661016695053,545.8560000000002,3.8892000000000024,4.013889962226031,0.3357159765499869,119.97999999999999,10,2,7,True,51253545,0.5821615106468461,51423571,1.0,0.1792452830188679,1.0
Cc1cn(-c2cc(OC(C)C(F)(F)F)c(C(=O)Nc3c(C)n[nH]c3Cl)cc2F)nc1C(C)(C)O,1121397,0.38,-7.01476865248352,-11.8907327315858,503.8840000000001,4.814040000000005,3.7574164710346833,0.41849626383484495,105.06,6,3,6,False,644807,0.5021390374331551,1121397,1.0,0.21296296296296297,1.0
Cc1ccccc1-n1cc(C(C)C)c2cc(-c3cn(C)c(C(C)(C)O)n3)c(F)cc2c1=O,1121366,0.38,-7.45948997220995,-12.6345906883426,433.5270000000002,5.189520000000006,2.9081113445179536,0.48185107122144255,60.050000000000004,5,1,4,True,50748315,0.5005490483162518,1121366,1.0,0.1875,1.0
CCn1c(CO)nn(-c2cc3c(C(C)C)cn(-c4ccccc4C)c(=O)c3cc2F)c1=O,51360203,0.396,-7.52071317148509,-13.7747045981335,436.4870000000002,3.4212200000000017,2.8855246794588734,0.5197911335034063,82.04999999999998,7,1,5,True,51107480,0.4981346946789711,51360203,1.0,0.15625,1.0
CCn1c(CO)nn(-c2cc(OC(C)C(F)(F)F)c3c(Oc4c(F)ccc(N(C)C)c4Cl)nccc3c2)c1=O,51423567,0.4,-8.12925768720707,-11.9393894640452,569.9430000000002,5.074800000000004,3.861691389740397,0.2959341802232484,94.63999999999999,9,1,8,True,645092,0.5453429222943343,51423567,1.0,0.125,1.0
CCn1c(CO)nn(-c2cc(OC(C)C(F)(F)F)c3c(Oc4c(F)ccc(OCCOC)c4Cl)nccc3c2)c1=O,51423566,0.41,-8.74646956658107,-11.6913452400447,600.9530000000002,5.034000000000005,3.797964758385379,0.18850815150247344,109.86000000000001,10,1,11,True,578597,0.5352649947244541,51423566,1.0,0.11538461538461539,1.0
CCn1c(CO)nn(-c2cc3c(C(C)C)cn(-c4ccccc4Cl)c(=O)c3cc2F)c1=O,1226106,0.418,-7.419086781036,-13.7191219638548,456.90500000000014,3.766200000000003,2.9158414626756564,0.4953634095949149,82.04999999999998,7,1,5,True,51107480,0.5035211267605634,1226106,1.0,0.16842105263157894,1.0
CCn1c(CO)nn(-c2cc3c(C(C)C)nn(-c4c(F)cccc4Cl)c(=O)c3cc2F)c1=O,1226043,0.433,-7.90233564431727,-13.4043587595365,475.8830000000002,3.300300000000002,3.064047199244274,0.4776508614519258,94.94,8,1,5,True,795460,0.5746838089265183,1226043,1.0,0.20652173913043478,1.0
CCn1c(CO)nn(-c2cc3c(C(C)C)cn(-c4c(C)cccc4F)c(=O)c3cc2F)c1=O,1226058,0.435,-7.3026062871127,-13.7927797893065,454.4770000000002,3.5603200000000026,3.0735256607827353,0.5000336928842999,82.04999999999998,7,1,5,True,795451,0.5631974031243661,1226058,1.0,0.11764705882352941,1.0
C=C(C)c1cn(-c2ccccc2OC)c(=O)c2cc(F)c(-n3nc(CO)n(CC)c3=O)cc12,1226072,0.444,-7.38123240764988,-13.1167394181084,450.4700000000002,3.0311000000000012,2.9717088391428366,0.4876813881813269,91.28,8,1,6,True,795443,0.57473510955663,1226072,1.0,0.14150943396226415,1.0
Cc1ccccc1-n1nc(C(C)C)c2cc(-c3cn(C)c(C(C)(C)O)n3)c(F)cc2c1=O,1121376,0.45,-8.1271214177031,-11.9348965256124,434.5150000000002,4.584520000000005,2.915174474491428,0.5101289044201317,72.94,6,1,4,True,51107485,0.5310398596628009,1121376,1.0,0.1875,1.0
CCn1c(CO)nn(-c2cc3c(C(C)C)cn(-c4ccc(F)cc4C)c(=O)c3cc2F)c1=O,1226053,0.4589999999999999,-7.83915019734416,-14.1751160797311,454.4770000000002,3.5603200000000017,2.9692733530904256,0.5000336928842999,82.04999999999998,7,1,5,True,CHEMBL3985555,0.5024727992087042,1226053,1.0,0.13131313131313133,1.0
CCn1c(CO)nn(-c2nc3c(C(C)C(F)(F)F)cn(-c4ccccc4C)c(=O)c3cc2F)c1=O,1226027,0.4639999999999999,-7.87927416073046,-14.0688307778065,491.4450000000002,3.358620000000002,3.6761601296601025,0.4323348325618316,94.94,8,1,5,True,50748338,0.5128644939965694,1226027,1.0,0.1650485436893204,1.0
Cc1ccccc1-n1cc(C(C)C)c2cc(-c3nc(C(C)O)n(C)n3)c(F)cc2c1=O,1121375,0.48,-9.00790989701653,-13.1156235467663,420.4880000000001,4.410420000000004,3.2900554623045615,0.5307851574401763,72.94,6,1,4,True,50382207,0.5192096597145993,1121375,1.0,0.14814814814814814,1.0
Cc1c(-c2ccc(-c3ccccc3F)cc2)nc2ccc(F)cc2c1C(=O)O,51370187,0.48,-9.37669907579948,-10.6356161282182,375.3740000000001,5.853620000000004,2.0596192291806776,0.4883408069110823,50.19,2,1,3,True,CHEMBL3924809,0.5394416772848373,51370187,1.0,0.22077922077922077,1.0
Cc1cn(-c2cc(OC(C)C(F)(F)F)c(C(=O)Nc3c(F)cccc3Cl)cc2F)nc1C(C)(C)O,1121394,0.5,-9.4877728128879,-12.8304921303782,517.8820000000001,5.921620000000005,3.4561382255200996,0.3978683263332586,76.38,5,2,6,True,1156173,0.5242533936651583,1121394,1.0,0.10084033613445378,1.0
CN(C)c1cccc(-c2c(F)cc(-n3nnc4c3C(=O)c3ccccc3C4=O)cc2F)c1,51338205,0.5,-9.42716643597229,-8.21015706700083,430.4140000000001,4.053900000000002,2.6799740500882443,0.4320052719526992,68.09,6,0,3,False,558647,0.6288989308938608,51338205,1.0,0.09278350515463918,1.0
Cc1n[nH]c(Cl)c1-n1cc(C(C)C)c2cc(-c3cn(C)c(C(C)(C)O)n3)c(F)cc2c1=O,1121378,0.51,-10.4649205980274,-11.2422417337882,457.9370000000002,4.566020000000005,3.4162685402492468,0.46962763636635996,88.72999999999999,6,2,4,False,558932,0.5200039416633819,1121378,1.0,0.19387755102040816,1.0
Cc1ccccc1-n1cc(C(C)C)c2cc(-c3cn(C)c(C(C)O)n3)c(F)cc2c1=O,1121373,0.51,-8.36328184500891,-12.7309259359127,419.50000000000017,5.015420000000005,3.2735899419425705,0.505524345495404,60.050000000000004,5,1,4,True,675616,0.48648878314072064,1121373,1.0,0.08737864077669903,1.0
CCn1c(CO)nn(-c2cc3c(C(C)C)cn(-c4ccccc4C(F)F)c(=O)c3cc2F)c1=O,1226094,0.528,-7.57898231728828,-13.922507829942,472.46700000000016,4.050400000000003,3.1067865514800888,0.45914960901570595,82.04999999999998,7,1,6,True,795460,0.5735903814262023,1226094,1.0,0.14432989690721648,1.0
C=C(C)c1cn(-c2c(C)cccc2F)c(=O)c2cc(F)c(-n3nc(CO)n(CC)c3=O)cc12,1226062,0.562,-8.48449245057663,-13.9309219676848,452.46100000000024,3.4700200000000025,3.158056430013504,0.5028394468314298,82.04999999999998,7,1,5,True,795460,0.5849275975055491,1226062,1.0,0.15463917525773196,1.0
Cc1ccccc1-n1cc(C(C)C)c2cc(-c3nc(C(C)(C)O)n(C)n3)c(F)cc2c1=O,1121369,0.57,-8.3718231435978,-12.7444611998523,434.51500000000016,4.584520000000005,2.9449452967725946,0.5101289044201317,72.94,6,1,4,True,50382207,0.508568368439843,1121369,1.0,0.16822429906542055,1.0
