SMILES,Title,IC50nM
CN(C)CCCC(=O)Nc1cc(C(=O)O)cc(-c2n[nH]c3cc(Nc4ccccc4Cl)ccc23)c1,CHEMBL1092764,3.0
C=CC(=O)Nc1cccc(C(=O)Nc2cccc(Nc3cc(-c4c(-c5ccc(F)cc5)nc(SC)n4C)ccn3)c2)c1,CHEMBL4094220,3.0
C=CC(=O)Nc1ccc(C(=O)Nc2ccc(Nc3cc(-c4[nH]c(SC)nc4-c4ccc(F)cc4)ccn3)cc2)cc1,CHEMBL4082212,3.0
Cn1cnc(-c2c(Br)csc2NC(=O)CN2C(=O)CCc3ncccc32)n1,CHEMBL1822305,3.0
C=CC(=O)Nc1cccc(C(=O)Nc2cccc(Nc3cc(-c4c(-c5ccc(F)cc5)nc(SC)n4C)ccn3)c2)c1C,CHEMBL4071770,3.0
CN(c1nccc(-c2cnc3ccccn23)n1)C1CCCCC1,CHEMBL482708,3.0
O=C(Nc1cc(-c2ccnc(Nc3ccc(F)cc3)c2)ccn1)C1CCOC1,CHEMBL203839,3.0
COCCNC(=O)c1cc(-n2ncc3cc(Nc4ccccc4Cl)c(F)cc32)cs1,CHEMBL4876387,3.0
COc1ccc(CCNc2nccc(C(C#N)=C3Nc4ccccc4S3)n2)cc1,CHEMBL370516,3.1
COc1ccc(CCNc2nccc(C(C#N)c3nc4ccccc4s3)n2)cc1,50383506,3.1
NC(=O)c1cccc(-c2[nH]nc3cc(Nc4ccccc4Cl)ccc23)c1,CHEMBL199136,3.3
NC(=O)c1cccc(-c2n[nH]c3cc(Nc4ccccc4Cl)ccc23)c1,50319425,3.3
O=C(NCCCN1CCOCC1)c1cccc(-c2[nH]nc3cc(Nc4ccccc4Cl)ccc23)c1,CHEMBL198687,3.4
O=C(NCCCN1CCOCC1)c1cccc(-c2n[nH]c3cc(Nc4ccccc4Cl)ccc23)c1,50319407,3.4
CS(=O)(=O)Nc1ccc(-c2ccnc(Nc3ccc(-n4ccnn4)cc3)n2)cc1,CHEMBL571626,4.0
C=CC(=O)Nc1ccc(C(=O)Nc2cccc(Nc3cc(-c4c(-c5ccc(F)cc5)nc(SC)n4C)ccn3)c2)cc1,CHEMBL4072555,4.0
COc1c(-c2cnn(C)c2)ccc2cnc(Nc3ccc(-n4cnc(N5CCOCC5)n4)cc3)nc12,CHEMBL1761584,4.0
CC(=O)N1CCC(NC(=O)c2cc(-n3ncc4cc(Nc5ccccc5Cl)c(F)cc43)cs2)C1,CHEMBL4862656,4.0
O=C(NCC(F)F)c1cc(-n2ncc3cc(Nc4ccccc4Cl)c(F)cc32)cs1,CHEMBL4879188,4.0
