SMILES,Title,IC50nM
CCn1c(CO)nn(-c2cc3c(cn(-c4ccccc4Cl)c(=O)c3cc2F)C(C)C)c1=O,1226106,0.418
CCn1c(CO)nn(-c2cc3c(nn(-c4c(F)cccc4Cl)c(=O)c3cc2F)C(C)C)c1=O,1226043,0.433
CCn1c(CO)nn(-c2cc3c(cn(-c4c(C)cccc4F)c(=O)c3cc2F)C(C)C)c1=O,1226058,0.435
CCn1c(CO)nn(-c2cc3c(cn(-c4ccccc4OC)c(=O)c3cc2F)C(C)=C)c1=O,1226072,0.444
CC(C)c1nn(-c2ccccc2C)c(=O)c2cc(F)c(cc12)-c1cn(C)c(n1)C(C)(C)O,1121376,0.45
CCn1c(CO)nn(-c2cc3c(cn(-c4ccc(F)cc4C)c(=O)c3cc2F)C(C)C)c1=O,1226053,0.459
CCn1c(CO)nn(-c2cc3c(cn(-c4ccccc4C)c(=O)c3cc2F)C(C)C)c1=O,1226082,0.463
CCn1c(CO)nn(-c2nc3c(cn(-c4ccccc4C)c(=O)c3cc2F)[C@@H](C)C(F)(F)F)c1=O,1226027,0.464
CC(C)c1cn(-c2ccccc2C)c(=O)c2cc(F)c(cc12)-c1nc([C@H](C)O)n(C)n1,1121375,0.48
C[C@@H](O)c1nn(cc1C)-c1cc(O[C@@H](C)C(F)(F)F)c(cc1F)C(=O)Nc1c(F)cccc1Cl,1121392,0.48
Cc1c(nc2ccc(F)cc2c1C(O)=O)-c1ccc(cc1)-c1ccccc1F,51370187,0.48
Cc1c(-c2ccc(-c3ccccc3F)cc2)nc2ccc(F)cc2c1C(=O)O,CHEMBL38434,0.48
C[C@H](Oc1cc(c(F)cc1C(=O)Nc1c(F)cccc1Cl)-n1cc(C)c(n1)C(C)(C)O)C(F)(F)F,1121394,0.5
CN(C)c1cccc(c1)-c1c(F)cc(cc1F)-n1nnc2c1C(=O)c1ccccc1C2=O,51338205,0.5
CN(C)c1cccc(-c2c(F)cc(-n3nnc4c3C(=O)c3ccccc3C4=O)cc2F)c1,CHEMBL4647465,0.5
CC(C)c1cn(-c2c(C)n[nH]c2Cl)c(=O)c2cc(F)c(cc12)-c1cn(C)c(n1)C(C)(C)O,1121378,0.51
CC(C)c1cn(-c2ccccc2C)c(=O)c2cc(F)c(cc12)-c1cn(C)c(n1)[C@@H](C)O,1121373,0.51
CCn1c(CO)nn(-c2cc3c(cn(-c4ccccc4C)c(=O)c3cc2F)C(C)C(F)(F)F)c1=O,1226077,0.52
CCn1c(CO)nn(-c2cc3c(cn(-c4ccccc4C(F)F)c(=O)c3cc2F)C(C)C)c1=O,1226094,0.528
CC(C)c1cn(-c2ccccc2C)c(=O)c2cc(F)c(cc12)-c1cn(C)c(n1)C(C)(C)O,1121385,0.54
CCn1c(CO)nn(-c2cc3c(cn(-c4c(C)cccc4F)c(=O)c3cc2F)C(C)=C)c1=O,1226062,0.562
CC(C)c1cn(-c2ccccc2C)c(=O)c2cc(F)c(cc12)-c1nc(n(C)n1)C(C)(C)O,1121369,0.57
CCn1c(CO)nn(-c2cc3c(cn(-c4cc(C)ccc4C)c(=O)c3cc2F)C(C)C)c1=O,1226064,0.58
CCn1c(CO)nn(-c2nc(OC(C)C(F)(F)F)c3c(Oc4c(F)cccc4Cl)nccc3c2F)c1=O,51423570,0.59
CCn1c(CO)nn(-c2nc(OC(C)C(F)(F)F)c3c(Oc4c(F)cccc4Cl)nccc3c2F)c1=O,CHEMBL4857243,0.59
CCn1c(CO)nn(-c2cc3c(cn(-c4cc(F)ccc4C)c(=O)c3cc2F)C(C)C)c1=O,1226056,0.605
CCn1c(CO)nn(-c2cc3c(cn(-c4c(C)cnc(OC)c4Cl)c(=O)c3cc2F)C(C)C)c1=O,1226050,0.617
CCn1c(CO)nn(-c2nc3c(cn(-c4ccccc4C)c(=O)c3cc2F)C(C)C)c1=O,1226129,0.623
CCn1c(CO)nn(-c2ccc3c(c2)c(cn(-c2ccccc2C)c3=O)C(C)=C)c1=O,1226004,0.634
CC(C)c1cn(-c2ccccc2C)c(=O)c2cc(F)c(cc12)-c1nc(n(C)n1)C(C)(C)O,1121391,0.64
CCn1c(CO)nn(-c2cc3c(cn(-c4ccccc4C(F)(F)F)c(=O)c3cc2F)C(C)C)c1=O,1226092,0.669
CC(C)c1cn(-c2c(C)n[nH]c2Cl)c(=O)c2cc(F)c(cc12)-c1nc(n(C)n1)C(C)(C)O,1121379,0.71
CCn1c(CO)nn(-c2ccc3c(c2)c(cn(-c2ccccc2Cl)c3=O)C(C)=C)c1=O,1226003,0.724
CC(C)c1cn(-c2ccccc2C)c(=O)c2cc(F)c(cc12)-c1cn(C)c(n1)[C@H](C)O,1121372,0.73
CCn1c(CO)nn(-c2cc3c(cn(-c4ccccc4C)c(=O)c3cc2F)C(C)=C)c1=O,1226035,0.746
CCn1c(CO)nn(-c2cc3c(cn(-c4c(C)n[nH]c4Cl)c(=O)c3cc2F)C(C)C)c1=O,1226020,0.764
CCn1c(CO)nn(-c2cc3c(cn(-c4ccccc4OC)c(=O)c3cc2F)C(C)C)c1=O,1226084,0.772
CCn1c(CO)nn(-c2cc3c(nn(-c4ccccc4C)c(=O)c3cc2F)C(C)C)c1=O,1226042,0.778
CCc1cnc(-n2nc(OC(C)C)c(Oc3c(F)cccc3F)c2C)nc1,CHEMBL3409491,0.7943
CCc1cnc(nc1)-n1nc(OC(C)C)c(Oc2c(F)cccc2F)c1C,50311221,0.794328
CCn1c(CO)nn(-c2nc3c(cn(-c4ccccc4C)c(=O)c3cc2F)C(C)C)c1=O,1226029,0.802
CCn1c(CO)nn(-c2cc3c(cn(-c4c(C)cnc(OC)c4Cl)c(=O)c3cc2F)C(C)=C)c1=O,1226051,0.836
CCn1c(CO)nn(-c2ccc3c(c2)c(cn(-c2c(Cl)cccc2Cl)c3=O)C(C)=C)c1=O,1225997,0.839
CCn1c(CO)nn(-c2nc3c(cn(-c4ccccc4OC)c(=O)c3cc2F)C(C)C)c1=O,1226119,0.885
CCC(C)c1cn(-c2c(F)cccc2Cl)c(=O)c2cc(F)c(cc12)-n1nc(CO)n(CC)c1=O,1226037,0.907
CCn1c(CO)nn(-c2cc3c(cn(-c4cc(C)ccc4Cl)c(=O)c3cc2F)C(C)=C)c1=O,1226032,0.917
CCn1c(CO)nn(-c2cc3c(cn(-c4cc(F)ccc4F)c(=O)c3cc2F)C(C)=C)c1=O,1226061,0.946
CCn1c(CO)nn(-c2ccc3c(c2)c(cn(-c2c(Cl)cccc2Cl)c3=O)C2(C)CC2)c1=O,1225996,0.965
NCCO.OC(=O)c1[nH]c(=O)[nH]c(=O)c1CCc1ccc(cc1)-c1ccccc1,50555327,0.97
NCCO.O=C(O)c1[nH]c(=O)[nH]c(=O)c1CCc1ccc(-c2ccccc2)cc1,CHEMBL3974614,0.97
CCC[C@H](C)Oc1cc(c(F)cc1C(=O)Nc1c(F)cccc1Cl)-n1nc2CCCCn2c1=O,1020381,1
Cc1nc2c(cc(cc2[nH]1)-c1ccc(cc1)-n1c(C)ccc1C)C(O)=O,51390146,1
