SMILES,Title,IC50nM
CCn1c(CO)nn(-c2nc3c(C(C)C)cn(-c4ccccc4C)c(=O)c3cc2F)c1=O,1226129,0.623
C=C(C)c1cn(-c2ccccc2C)c(=O)c2ccc(-n3nc(CO)n(CC)c3=O)cc12,1226004,0.634
CCn1c(CO)nn(-c2cc3c(C(C)C)cn(-c4ccccc4C(F)(F)F)c(=O)c3cc2F)c1=O,1226092,0.669
Cc1n[nH]c(Cl)c1-n1cc(C(C)C)c2cc(-c3nc(C(C)(C)O)n(C)n3)c(F)cc2c1=O,1121379,0.71
C=C(C)c1cn(-c2ccccc2Cl)c(=O)c2ccc(-n3nc(CO)n(CC)c3=O)cc12,1226003,0.724
C=C(C)c1cn(-c2ccccc2C)c(=O)c2cc(F)c(-n3nc(CO)n(CC)c3=O)cc12,1226035,0.746
CCn1c(CO)nn(-c2cc3c(C(C)C)cn(-c4c(C)n[nH]c4Cl)c(=O)c3cc2F)c1=O,1226020,0.764
CCn1c(CO)nn(-c2cc3c(C(C)C)cn(-c4ccccc4OC)c(=O)c3cc2F)c1=O,1226084,0.772
CCn1c(CO)nn(-c2cc3c(C(C)C)nn(-c4ccccc4C)c(=O)c3cc2F)c1=O,1226042,0.778
CCc1cnc(-n2nc(OC(C)C)c(Oc3c(F)cccc3F)c2C)nc1,CHEMBL3409491,0.7943
C=C(C)c1cn(-c2c(C)cnc(OC)c2Cl)c(=O)c2cc(F)c(-n3nc(CO)n(CC)c3=O)cc12,1226051,0.836
C=C(C)c1cn(-c2c(Cl)cccc2Cl)c(=O)c2ccc(-n3nc(CO)n(CC)c3=O)cc12,1225997,0.839
CCn1c(CO)nn(-c2nc3c(C(C)C)cn(-c4ccccc4OC)c(=O)c3cc2F)c1=O,1226119,0.885
CCC(C)c1cn(-c2c(F)cccc2Cl)c(=O)c2cc(F)c(-n3nc(CO)n(CC)c3=O)cc12,1226037,0.907
C=C(C)c1cn(-c2cc(C)ccc2Cl)c(=O)c2cc(F)c(-n3nc(CO)n(CC)c3=O)cc12,1226032,0.917
C=C(C)c1cn(-c2cc(F)ccc2F)c(=O)c2cc(F)c(-n3nc(CO)n(CC)c3=O)cc12,1226061,0.946
CCn1c(CO)nn(-c2ccc3c(=O)n(-c4c(Cl)cccc4Cl)cc(C4(C)CC4)c3c2)c1=O,1225996,0.965
